iter	RMSE
0	1.2142781
1	1.192636557
2	1.172923167
3	1.1546147
4	1.137679063
5	1.122213895
6	1.107756917
7	1.09452045
8	1.082238317
9	1.070932305
10	1.060498131
11	1.050997681
12	1.041969703
13	1.033760293
14	1.026176632
15	1.019209486
16	1.012672774
17	1.006656002
18	1.001138162
19	0.9960967774
20	0.9914023962
21	0.9869749404
22	0.982958422
23	0.9790924433
24	0.9756408025
25	0.97219821
26	0.9690358766
27	0.966187982
28	0.96349269
29	0.9609989183
30	0.9587909052
31	0.956634436
32	0.9545606493
33	0.952752445
34	0.9509891081
35	0.9493074721
36	0.9477871875
37	0.9464510701
38	0.9451012876
39	0.9438667144
40	0.942760606
41	0.941587074
42	0.940468097
43	0.9394732475
44	0.9384994373
45	0.9375576568
46	0.9367319186
47	0.9359318771
48	0.9351509135
49	0.9344319143
50	0.9337357439
51	0.9331236925
52	0.9324622964
53	0.9318212262
54	0.9311753821
55	0.9306764295
56	0.9301908964
57	0.9296714323
58	0.9291984308
59	0.9287458525
60	0.9283229797
61	0.9279291233
62	0.927519233
63	0.927141735
64	0.9267883758
65	0.9263894765
66	0.9260747121
67	0.9257089451
68	0.9254089702
69	0.9250577311
70	0.9247500096
71	0.9244848951
72	0.9241383497
73	0.9238663792
74	0.9235810948
75	0.9232596045
76	0.923010285
77	0.9227897235
78	0.9225050103
79	0.9222133075
80	0.9220216861
81	0.9217988322
82	0.9216092751
83	0.9214561116
84	0.9212779021
85	0.9211030006
86	0.9209077657
87	0.9207478504
88	0.9205651463
89	0.920388265
90	0.9202255252
91	0.9200306899
92	0.9198856955
93	0.9197143594
94	0.9195445291
95	0.9193911259
96	0.9192246116
97	0.9190290347
98	0.9188892859
99	0.9187717759
100	0.9186131425
101	0.9184922808
102	0.918299222
103	0.9181724743
104	0.9180657234
105	0.9179653095
106	0.9178658787
107	0.917733828
108	0.9175660401
109	0.9174484038
110	0.9173321083
111	0.9172333945
112	0.9170723593
113	0.9169207511
114	0.9167912419
115	0.9166805347
116	0.9165536314
117	0.9164891741
118	0.916402258
119	0.9162849087
120	0.9162187262
121	0.9161472144
122	0.9160643811
123	0.9159874902
124	0.9158731775
125	0.9157915091
126	0.9156858717
127	0.9155609675
128	0.915454673
129	0.9153920737
130	0.9152992089
131	0.9152226235
132	0.9151474177
133	0.9150417917
134	0.914969378
135	0.9149151592
136	0.914812723
137	0.914757634
138	0.9146611957
139	0.9145653855
140	0.9144686184
141	0.9144222235
142	0.9143698241
143	0.9142638583
144	0.9141773765
145	0.9140830656
146	0.9140141424
147	0.9139690415
148	0.9139041574
149	0.9138631087
150	0.9137917202
151	0.9137198728
152	0.9136426219
153	0.9135764948
154	0.9135346381
155	0.9134839284
156	0.9134336228
157	0.9133847324
158	0.9133348761
159	0.9132580571
160	0.9132100368
161	0.9131489728
162	0.9131053836
163	0.9130598007
164	0.913023059
165	0.9129598605
166	0.9129274727
167	0.9128687518
168	0.9128278634
169	0.9127719739
170	0.9127209696
171	0.9126694672
172	0.9126261188
173	0.9125909121
174	0.9125550349
175	0.912491806
176	0.9124353951
177	0.9123845063
178	0.9123331703
179	0.9122876341
180	0.9122481601
181	0.912211158
182	0.9121660729
183	0.9121329466
184	0.9120931605
185	0.9120660027
186	0.9120153633
187	0.9119895831
188	0.9119465947
189	0.9119008973
190	0.9118549003
191	0.9118108508
192	0.9117517594
193	0.9117131534
194	0.9116939715
195	0.9116649581
196	0.9116168058
197	0.9115824144
198	0.9115630075
199	0.9115187975
