iter	Passed	Remaining
0	730	145427
1	1222	121014
2	1673	109887
3	2113	103579
4	2613	101908
5	3111	100610
6	3564	98285
7	4436	106465
8	5553	117848
9	6559	124634
10	7026	120730
11	7496	117441
12	7860	113073
13	8286	110092
14	8708	107406
15	9197	105770
16	9700	104421
17	10103	102160
18	10489	99921
19	10865	97792
20	11452	97622
21	12024	97286
22	12459	95885
23	13250	97166
24	13878	97148
25	14442	96650
26	14859	95213
27	15357	94336
28	15774	93013
29	16268	92185
30	16779	91472
31	17205	90328
32	17674	89444
33	18182	88772
34	18706	88188
35	19124	87122
36	19540	86082
37	19907	84870
38	20361	84056
39	20796	83186
40	21181	82141
41	21596	81244
42	22026	80420
43	22470	79668
44	22912	78919
45	23344	78152
46	23783	77421
47	24192	76608
48	24588	75772
49	24984	74953
50	25491	74474
51	25867	73622
52	26302	72951
53	26715	72231
54	27174	71641
55	27563	70878
56	27979	70194
57	28372	69464
58	28741	68687
59	29130	67971
60	29518	67264
61	29844	66427
62	30238	65757
63	30632	65094
64	30930	64239
65	31340	63630
66	31713	62953
67	32169	62446
68	32557	61811
69	32996	61279
70	33390	60667
71	33760	60019
72	34245	59578
73	34613	58935
74	35038	58397
75	35548	57999
76	35832	57239
77	36251	56700
78	37101	56827
79	37551	56327
80	37890	55666
81	38352	55189
82	38711	54569
83	39087	53977
84	39451	53375
85	39781	52733
86	40180	52188
87	40496	51541
88	40853	50952
89	41256	50424
90	41622	49855
91	42044	49357
92	42434	48822
93	42905	48382
94	43347	47909
95	43748	47394
96	44212	46947
97	44572	46391
98	44880	45786
99	45212	45212
100	45629	44726
101	45974	44171
102	46441	43736
103	46739	43143
104	47170	42677
105	47488	42112
106	47854	41592
107	48262	41112
108	48657	40622
109	49096	40169
110	49478	39672
111	49797	39126
112	50190	38642
113	50579	38156
114	51001	37696
115	51367	37196
116	51713	36685
117	51958	36106
118	52295	35595
119	52668	35112
120	52905	34541
121	53246	34042
122	53578	33540
123	53955	33069
124	54402	32641
125	54744	32151
126	55125	31686
127	55501	31219
128	55960	30800
129	56295	30313
130	56684	29856
131	57011	29369
132	57335	28883
133	57713	28425
134	58051	27950
135	58327	27448
136	58734	27009
137	59046	26528
138	59453	26091
139	59817	25636
140	60214	25196
141	60466	24697
142	60838	24250
143	61370	23866
144	61727	23413
145	62089	22964
146	62444	22513
147	62743	22044
148	63176	21624
149	63494	21164
150	63832	20713
151	64155	20259
152	64567	19834
153	64884	19381
154	65244	18942
155	65572	18494
156	65987	18073
157	66335	17633
158	66652	17187
159	67076	16769
160	67454	16339
161	67835	15911
162	68213	15484
163	68583	15054
164	68937	14623
165	69331	14200
166	69617	13756
167	69989	13331
168	70366	12907
169	71096	12546
170	71488	12123
171	71841	11695
172	72228	11272
173	72547	10840
174	72920	10417
175	73388	10007
176	73821	9592
177	74268	9179
178	74676	8760
179	75043	8338
180	75444	7919
181	75822	7498
182	76223	7080
183	76525	6654
184	76895	6234
185	77352	5822
186	77699	5401
187	78041	4981
188	78413	4563
189	78832	4149
190	79252	3734
191	79629	3317
192	80064	2903
193	80443	2487
194	80790	2071
195	81175	1656
196	81576	1242
197	81912	827
198	82261	413
199	82729	0
